ranking,bookname,authors
77,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은
77,우울할 땐 뇌과학 ,앨릭스 코브 지음 ;정지인 옮김
77,나는 내 파이를 구할 뿐 인류를 구하러 온 게 아니라고 :자기 몫을 되찾고 싶은 여성들을 위한 야망 에세이 ,김진아 지음
80,더 해빙 =부와 행운을 끌어당기는 힘 /The having ,"이서윤,홍주연 지음"
81,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술 ,조원재 지음
82,사서함 110호의 우편물 :이도우 장편소설 ,지은이: 이도우
82,모순 :양귀자 장편소설 ,지은이: 양귀자
82,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다 ",임홍택 지음
85,아가미 :구병모 장편소설 ,지은이: 구병모
85,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호
87,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구 ,야마구치 슈 지음 ;김윤경 옮김
88,디디의 우산 :황정은 연작소설 ,지은이: 황정은
88,꽃을 보듯 너를 본다 :나태주 인터넷 시집 ,지은이: 나태주
88,존리의 부자되기 습관 :대한민국 경제독립 액션 플랜 ,존리 지음
91,살고 싶다는 농담 :허지웅 에세이 ,지은이: 허지웅
92,인간 실격,다자이 오사무 지음;김춘미 옮김
93,1cm 다이빙 ,"지은이: 장태수,조문정"
94,보건교사 안은영 :정세랑 장편소설 ,지은이: 정세랑
94,오늘은 이만 좀 쉴게요 ,지은이: 손힘찬 ;삽화: 이다영
96,모래알만 한 진실이라도 :박완서 에세이 ,지은이: 박완서
97,미드나잇 선 ,스테프니 메이어 지음 ;심연희 옮김
98,동급생 ,프레드 울만 지음 ;황보석 옮김
99,멋진 신세계 ,올더스 헉슬리 지음 ;안정효 옮김
99,(비전공자를 위한 이해할 수 있는) IT 지식 ,최원영 지음
101,아몬드 :손원평 장편소설 ,지은이: 손원평
102,최선의 삶 :임솔아 장편소설 ,지은이: 임솔아
102,키르케 :매들린 밀러 장편소설 ,지은이: 매들린 밀러 ;옮긴이: 이은선
102,지쳤거나 좋아하는 게 없거나 ,글배우 지음
105,트렌드 코리아 2021 :팬데믹 위기에 대응하는 전략은 무엇인가? ,"지은이: 김난도,한다혜"
105,(주린이도 술술 읽는) 친절한 주식책 :주식 왕초보가 꼭 알아야 할 기본 ,"최정희,이슬기 지음"
105,추리소설가의 살인사건 ,저자: 히가시노 게이고 ;옮긴이: 민경욱
108,블랙 쇼맨과 이름 없는 마을의 살인 ,지은이: 히가시노 게이고 ;옮긴이: 최고은
109,구의 증명 :최진영 소설 ,지은이: 최진영
109,부자 아빠 가난한 아빠 :20주년 특별 기념판 ,지은이: 로버트 기요사키 ;옮긴이: 안진환
111,위저드 베이커리 =구병모 장편소설 /Wizard bakery ,지은이: 구병모
112,정의란 무엇인가 ,저자: 마이클 샌델 ;역자: 이창신
113,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ,정문정 지음
113,(50대 사건으로 보는) 돈의 역사 =The history of money ,홍춘욱 지음
113,덧니가 보고 싶어 :정세랑 장편소설 ,지은이: 정세랑
116,상관없는 거 아닌가? :장기하 산문 ,지은이: 장기하
116,"총, 균, 쇠 ",재레드 다이아몬드 지음 ;김진준 옮김
116,지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리,채사장 (지은이)
119,어디서 살 것인가우리가 살고 싶은 곳의 기준을 바꾸다,유현준 지음
119,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하
119,파과 :구병모 장편소설 ,지은이: 구병모
119,"스물아홉 생일, 1년 후 죽기로 결심했다 ",하야마 아마리 지음 ;장은주 옮김
123,정의란 무엇인가 ,지은이: 마이클 샌델 ;옮긴이: 김명철
123,좋은 사람에게만 좋은 사람이면 돼 ,김재식 지음
125,언스크립티드 :부의 추월차선 완결판 ,엠제이 드마코 지음 ;안시열 옮김
126,도시는 무엇으로 사는가 :도시를 보는 열다섯 가지 인문적 시선 ,유현준 지음
126,상실의 시대 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 유유정
126,미드나잇 선 ,스테프니 메이어 지음 ;심연희 옮김
129,주린이가 가장 알고 싶은 최다질문 top 77 :'염블리' 염승환과 함께라면 주식이 쉽고 재미있다 ,염승환 지음
129,존리의 금융문맹 탈출 :대한민국 경제독립 프로젝트 ,존리 지음
129,지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ,채사장 지음
132,어떻게 살 것인가 ,지은이: 유시민
132,내가 원하는 것을 나도 모를 때 :잃어버린 나를 찾는 인생의 문장들 ,전승환 지음
132,마음챙김의 시 ,류시화 엮음
132,우리가 우리를 우리라고 부를 때 :N번방 추적기와 우리의 이야기 ,추적단 불꽃 지음
136,2030 축의 전환 :새로운 부와 힘을 탄생시킬 8가지 거대한 물결 ,마우로 기옌 지음 ;우진하 옮김
136,레몬 :권여선 장편소설 ,지은이: 권여선
136,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애
136,화이트 호스 =강화길 소설 /White horse ,지은이: 강화길
136,"나는 무조건 합격하는 공부만 한다 :26살, 9개월 만에 사법시험을 패스한 이윤규 변호사의 패턴 공부법 ",이윤규 지음
136,숨 :테드 창 소설 ,지은이: 테드 창 ;옮긴이: 김상훈
142,시작의 기술 :침대에 누워서 걱정만 하는 게으른 완벽주의자를 위한 7가지 무기 ,개리 비숍 지음 ;이지연 옮김
142,나도 아직 나를 모른다 :뇌과학과 임상심리학이 부서진 마음에게 전하는 말 ,허지원 지음
142,주식투자 무작정 따라하기 =Stock market investing ,윤재수 지음
142,홀로서기 심리학 :이제는 흔들리지 않고 삶의 중심을 잡고 싶다면 ,지은이: 라라 E. 필딩 ;일러스트: 최연주
146,이기적 유전자 :진화론의 새로운 패러다임 ,리처드 도킨스 지음 ;이상임 옮김
146,곰탕 :김영탁 장편소설 ,지은이: 김영탁
146,개인주의자 선언 :판사 문유석의 일상유감 ,지은이: 문유석
146,죽여 마땅한 사람들 ,피터 스완슨 지음 ;노진선 옮김
150,두 번째 지구는 없다 ,글·그림: 타일러 라쉬
150,"규칙 없음 :넷플릭스, 지구상 가장 빠르고 유연한 기업의 비밀 ","리드 헤이스팅스,이경남 옮김"
150,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥
150,"진이, 지니 :정유정 장편소설 ",지은이: 정유정
154,이만큼 가까이 :정세랑 장편소설 ,지은이: 정세랑
154,"여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우"
156,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,마크 맨슨 지음 ;한재호 옮김
156,공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가 ,유현준 지음
156,용의자 X의 헌신 - 제134회 나오키상 수상작,히가시노 게이고
156,IT 좀 아는 사람 :비전공자도 IT 전문가처럼 생각하는 법 ,"닐 메타,김고명 옮김"
160,네 이웃의 식탁 :구병모 장편소설 ,지은이: 구병모
160,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김
160,그녀는 다 계획이 있다 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥
163,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김
163,아가미 :구병모 장편소설 ,지은이: 구병모
163,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅
166,악의 :히가시노 게이고 장편소설 ,히가시노 게이고 [지음] ;양윤옥 옮김
166,연금술사,파울로 코엘료 지음;최정수 옮김
166,지적 대화를 위한 넓고 얕은 지식,채사장 지음
166,체공녀 강주룡 :박서련 장편소설 ,지은이: 박서련
166,미움받을 용기 :사랑과 진정한 자립에 대한 아들러의 가르침,"기시미 이치로,전경아 옮김"
171,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,하완 지음
171,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경
171,오직 두 사람 :김영하 소설 ,지은이: 김영하
171,(비울수록 사람을 더 채우는) 말그릇 ,김윤나 지음
